District ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Balasore,153.5083333,109.5583333,147.9083333,132.5416667,172.5916667,147.8083333,182.1583333,141.75,131.6416667,105.375,123.9583333,85.73333333
Bhadrak,135.8583333,88.46666667,171.05,119.7583333,140.55,112.5416667,119.575,107.1083333,135,106.4833333,129.1333333,80.48333333
Bolangir,133.7,69.25,139.15,93.46666667,95.55833333,143.225,115.8,136.75,120.2166667,92.875,95.4,105.65
Sonepur,155.5583333,93.20833333,126.55,92.99166667,104.0916667,157.0916667,109.5083333,124.0583333,129.4583333,87.39166667,83.53333333,116.9833333
Cuttack,157.7083333,86.88333333,148.075,116.575,167.6083333,160.6,153.5166667,154.4166667,150.5416667,115.875,125.175,136.2166667
Jagatsinghpur,125.35,87.275,141.8916667,100.2583333,135.1416667,134.1083333,121.0666667,140.7083333,123.6666667,100.7666667,110.0583333,91.8
Jajpur,119.2333333,82.45,165.8583333,118.225,150.8583333,137.7166667,143.6333333,122.4333333,129.325,86.86666667,137.0916667,115.1666667
Kendrapara,100.975,71.99166667,166.65,115.2666667,148.575,118.8666667,136.5666667,138.2416667,130.7583333,104.2,125.7916667,93.25
Dhenkanal,135.5333333,85.04166667,132.6333333,87.2,145.0833333,115.3833333,108.3333333,119.0583333,122.6416667,93.96666667,124.1,123.1333333
Angul,138.6166667,75.10833333,149.5166667,111.65,142.85,112.0166667,103.1083333,118.5166667,105.6,79.21666667,112.075,115.75
Ganjam,114.725,79.35,116.375,81.61666667,113.2583333,123.5333333,110.0416667,96.825,101.4916667,123.0666667,761.5,101.7
Gajapati,100.0583333,79.34166667,131.7916667,106.775,121.05,142.2,110.425,106.6083333,95.8,125.5333333,107.7666667,113.6583333
Kalahandi,197.175,73.45,177.775,145.2916667,116.5,187.0333333,156.4416667,157.1166667,125.3666667,128.5333333,97.84166667,118.6166667
Nuapada,103.25,55.83333333,108.4166667,72.3,72.79166667,120.7916667,107.975,109.3666667,108.5333333,92.98333333,93.53333333,77.39166667
Keonjhar,115.825,79.33333333,115.4416667,91.10833333,134.875,129.275,158.9666667,137.3166667,110.1333333,101.1166667,159.175,104.4583333
Koraput,135.8416667,84.375,118.9083333,116.8166667,112.0833333,162.7166667,145.525,108.2333333,86.54166667,127.775,99.86666667,125.6666667
Malkanagiri,97.875,78.66666667,146.4333333,132.3583333,115.4,159.8,154.0333333,112.4833333,91.775,151.675,91.40833333,143.15
Nawarangpur,150.3416667,83.40833333,132.8416667,141.05,133.3,179.2916667,191.1333333,153.1833333,125.5666667,183.8666667,119.4,140.45
Rayagada,100.0666667,75.275,109.7666667,108.7083333,101.9083333,164.7666667,125.4416667,107.1416667,110.675,124.3333333,97.15833333,107.2583333
Mayurbhanj,143.3583333,96.14166667,117.7833333,107.85,139.225,151.7666667,169.8083333,146.9166667,101.125,82.96666667,139.1083333,107.4916667
Phulbani,163.7916667,107.1333333,177.0166667,128.7666667,162.3666667,197.4916667,151.5833333,140.5166667,133.6416667,127.775,111.725,129.4083333
Boudh,121.8083333,100.6583333,154,121.3833333,125.1916667,144.2083333,115.3833333,127.1083333,104.0916667,88.78333333,103.85,101.7166667
Puri,142.575,88.075,122.1666667,87,127.2833333,161.0583333,111.6833333,118.2916667,121.95,126.0916667,87.64166667,105.4166667
Khorda,171.575,99.08333333,155.625,87.94166667,119.675,140.4333333,117.625,120.6166667,116.3666667,124.1333333,97.88333333,110.8833333
Nayagarh,151.9583333,82.69166667,135.775,102.2333333,145.9833333,114.975,120.8,124.8,124.2416667,123.1916667,97.38333333,144.5583333
Sambalpur,150.225,86.20833333,140.0666667,109.7916667,141.5,149.225,144.4166667,156.5833333,107.875,81.53333333,136.6166667,157.2666667
Bargarh,127.0416667,72.525,126.475,85.25,100.0416667,137.7666667,103.4666667,108.0916667,94.925,89.375,104.3583333,122.525
Deogarh,138.9916667,80.45833333,134.4333333,72.39166667,100.25,95.19166667,120.1666667,112.2166667,82.70833333,79.08333333,112.8333333,115.5166667
Jharsuguda,114.575,81.70833333,137.6416667,101.9,109.7333333,104.8333333,140.3333333,137.8,95.2,81.58333333,113.3333333,149.9583333
Sundargarh,143.3333333,86.65,110.65,95.60833333,103.5,101.1583333,130.35,124.6833333,89.71666667,78.8,131.725,118.9083333
